#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
200.00000000022686,-424858.35364918713,78282.0781027195
400.00000000118183,-424773.51580780814,79096.32640685429
599.9999999996356,-423276.6430522909,78736.23106381006
799.9999999949063,-424886.1817194696,78980.25480011874
999.9999999901769,-425053.1679476518,78389.53700968833
1199.9999999854476,-424424.2711902084,78631.6480452678
1399.9999999807183,-425369.973640973,78570.03155101754
1599.9999999759889,-423559.3173827783,78260.37939627623
1799.9999999712595,-423874.21311722416,78931.59323086712
1999.9999999665301,-424132.0572820066,78349.85478142893
2199.9999999618008,-424444.4667366585,78959.62983277882
2399.9999999570714,-423944.78928865097,79001.85492047662
2599.999999952342,-423261.7551093546,79033.8133956634
2799.9999999476127,-424385.11320013204,78445.01895161497
2999.9999999428833,-424738.0191913431,78183.9065934977
3199.999999938154,-425057.7347336442,78958.70313839878
3399.9999999334245,-424691.1919925867,79501.7269697315
3599.999999928695,-424491.6464869699,79287.52073320118
3799.999999923966,-424277.80271970667,78864.91891677375
3999.9999999192364,-423046.80850617355,79009.1603051849
4199.999999938153,-423892.5928246265,78663.71119580994
4399.999999978899,-424492.21067862865,78964.30565242772
4600.000000019644,-424654.1078141185,79252.37674237147
4800.0000000603895,-423774.5304513632,78939.30611325163
5000.000000101135,-423567.7926029817,77909.42285591908
5200.00000014188,-424351.65474862,78305.37636048498
5400.000000182626,-424222.11166586424,78885.01753241588
5600.000000223371,-425323.4044387862,78687.90874442388
5800.000000264116,-424571.62726979237,78002.36710878689
6000.000000304862,-424089.916072421,78844.62646185653
6200.000000345607,-423160.26165247476,78057.56556869915
6400.000000386352,-423551.8821970173,80109.34246546257
6600.000000427098,-423908.2597496351,78063.96861622075
6800.000000467843,-424113.3244432488,79214.56291704875
7000.0000005085885,-423523.7827843053,78704.34867624647
7200.000000549334,-424956.7744062927,79655.62609105022
7400.000000590079,-424210.4818711013,78268.09150224185
7600.000000630825,-425053.1326449453,78629.1115801598
7800.00000067157,-424089.56446235604,79032.87985542917
8000.000000712315,-424243.52740507317,79442.10113369691
8200.00000075306,-423900.1995673522,78299.36499909556
8400.000000793805,-424758.75551220216,78610.13855483523
8600.00000083455,-424443.6822438312,78714.58942336842
8800.000000875296,-424763.5605490564,79066.04733366333
9000.000000916041,-423785.1521621379,79032.8423021558
9200.000000956787,-424700.6181515048,79049.98202791961
9400.000000997532,-423236.03403344983,78996.69520385878
9600.000001038277,-424072.2772140461,78556.72396858223
9800.000001079023,-424521.6885445523,79393.24703176817
10000.000001119768,-424759.89548568195,78622.8770414351
10200.000001160513,-424483.6712279632,78439.44723083754
10400.000001201259,-424881.2597744488,79914.22752472508
10600.000001242004,-424432.71524452465,78528.75904270035
10800.00000128275,-424369.67182104336,79331.9833082057
11000.000001323495,-424099.1819297413,78405.37553309894
11200.00000136424,-424372.4539694616,78903.83940038597
11400.000001404986,-425096.15506755677,79184.87976942887
11600.000001445731,-424913.96172304405,79307.68796554068
11800.000001486476,-424521.19271701435,78701.99620343957
12000.000001527222,-424748.54017041647,78764.93377005204
12200.000001567967,-424972.1246079011,78390.9679741367
12400.000001608712,-424378.7943702373,79050.19244456966
12600.000001649458,-424441.3470506924,79388.50173730392
12800.000001690203,-424829.2074572791,77763.88876772759
13000.000001730948,-423014.88661127794,78708.66083406238
13200.000001771694,-425305.96631667996,78759.31648162357
13400.00000181244,-424541.021021405,78789.80527328653
13600.000001853185,-425191.532031975,79186.80256545582
13800.00000189393,-423436.0473610079,79668.8640441841
14000.000001934675,-423885.33807089785,79315.35994942405
14200.00000197542,-424939.64087832347,79359.0133425433
14400.000002016166,-425064.48110048915,78665.22527784511
14600.000002056911,-424929.35702439374,79104.55748875649
14800.000002097657,-424742.4077841942,78804.62081252912
15000.000002138402,-424793.99795062235,78985.58445530914
15200.000002179147,-424655.69129258255,79206.09812301281
15400.000002219893,-424787.79681802914,78830.86509385158
15600.000002260638,-425199.2222655737,78508.10112413845
15800.000002301384,-424915.0482025922,78574.65793715673
16000.000002342129,-423768.9167405497,78843.37658170081
16200.000002382874,-425948.8136083393,78255.00608285342
16400.000002423618,-425255.04357791133,78757.04095069575
16600.000002464363,-423542.980976318,78976.56147904345
